lg,yr,wk,date,tm,g,ga,xg,xga,npxg,npxga,npxgd,xpts,h_a,w,l,d,result,pts
Bundesliga,2016,1,2016-08-26,Bayern Munich,6,0,4.53263,0.185791,3.7751,0.185791,3.589309,2.9868,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-26,Werder Bremen,0,6,0.185791,4.53263,0.185791,3.7751,-3.589309,0.0072,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Augsburg,0,2,0.452708,0.711094,0.452708,0.711094,-0.258386,1.0396999999999998,h,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Bayer Leverkusen,1,2,1.11067,1.88815,1.11067,1.88815,-0.77748,0.7988,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Borussia Dortmund,2,1,1.81984,1.07885,1.06206,1.07885,-0.016790000000000083,1.9621999999999997,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-27,Borussia M.Gladbach,2,1,1.88815,1.11067,1.88815,1.11067,0.77748,1.9589,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-27,Darmstadt,0,2,0.558815,3.13195,0.558815,3.13195,-2.5731349999999997,0.1114,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Eintracht Frankfurt,1,0,1.86688,0.930915,1.1091,0.930915,0.17818499999999993,2.1239999999999997,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-27,FC Cologne,2,0,3.13195,0.558815,3.13195,0.558815,2.5731349999999997,2.8231,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-27,Hamburger SV,1,1,0.309707,1.20744,0.309707,1.20744,-0.8977330000000001,0.5241,h,0,0,1,d,1
Bundesliga,2016,1,2016-08-27,Ingolstadt,1,1,1.20744,0.309707,1.20744,0.309707,0.8977330000000001,2.1924,a,0,0,1,d,1
Bundesliga,2016,1,2016-08-27,Mainz 05,1,2,1.07885,1.81984,1.07885,1.06206,0.016790000000000083,0.7826000000000001,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Schalke 04,0,1,0.930915,1.86688,0.930915,1.1091,-0.17818499999999993,0.6309,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-27,Wolfsburg,2,0,0.711094,0.452708,0.711094,0.452708,0.258386,1.5401000000000002,a,1,0,0,w,3
Bundesliga,2016,1,2016-08-28,Freiburg,1,2,0.360723,0.869084,0.360723,0.869084,-0.508361,0.8162,a,0,1,0,l,0
Bundesliga,2016,1,2016-08-28,Hertha Berlin,2,1,0.869084,0.360723,0.869084,0.360723,0.508361,1.7963,h,1,0,0,w,3
Bundesliga,2016,1,2016-08-28,Hoffenheim,2,2,1.15624,2.47526,1.15624,2.47526,-1.31902,0.5347,h,0,0,1,d,1
Bundesliga,2016,1,2016-08-28,RasenBallsport Leipzig,2,2,2.47526,1.15624,2.47526,1.15624,1.31902,2.2783,a,0,0,1,d,1
Bundesliga,2016,2,2016-09-09,Bayern Munich,2,0,2.2266,0.965209,2.2266,0.965209,1.261391,2.2984,a,1,0,0,w,3
Bundesliga,2016,2,2016-09-09,Schalke 04,0,2,0.965209,2.2266,0.965209,2.2266,-1.261391,0.502,h,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,Bayer Leverkusen,3,1,2.1378,0.65629,2.1378,0.65629,1.4815099999999999,2.453,h,1,0,0,w,3
Bundesliga,2016,2,2016-09-10,Borussia Dortmund,0,1,0.482478,0.950658,0.482478,0.950658,-0.46818,0.8165,a,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,Borussia M.Gladbach,1,3,0.130259,1.55438,0.130259,0.796602,-0.666343,0.1926,a,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,Darmstadt,1,0,0.277384,1.64252,0.277384,1.64252,-1.365136,0.2988,h,1,0,0,w,3
Bundesliga,2016,2,2016-09-10,Eintracht Frankfurt,0,1,1.64252,0.277384,1.64252,0.277384,1.365136,2.5263,a,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,FC Cologne,0,0,1.36943,0.914326,1.36943,0.914326,0.45510399999999995,1.7677999999999998,a,0,0,1,d,1
Bundesliga,2016,2,2016-09-10,Freiburg,3,1,1.55438,0.130259,0.796602,0.130259,0.666343,2.6645999999999996,h,1,0,0,w,3
Bundesliga,2016,2,2016-09-10,Hamburger SV,1,3,0.65629,2.1378,0.65629,2.1378,-1.4815099999999999,0.37550000000000006,a,0,1,0,l,0
Bundesliga,2016,2,2016-09-10,Hertha Berlin,2,0,0.854096,0.986677,0.854096,0.986677,-0.13258100000000006,1.1987,a,1,0,0,w,3
Bundesliga,2016,2,2016-09-10,Ingolstadt,0,2,0.986677,0.854096,0.986677,0.854096,0.13258100000000006,1.4582,h,0,1,0,l,0
